1H,2H,3H,4H,5H,6H,7H,8H,1L,2L,3L,4L,5L,6L,7L,8L
30,35,39,46,51,53,59,65,34,41,47,50,57,61,65,71
28,36,40,44,51,55,61,65,36,40,45,49,54,58,65,70
30,35,42,45,51,55,61,66,36,40,44,50,55,60,67,70
31,35,39,45,51,55,61,64,35,39,45,49,56,59,65,69
32,36,40,45,50,55,59,64,37,40,44,51,54,60,64,71
31,35,40,45,51,56,60,63,35,41,44,50,56,59,66,70
31,35,40,46,50,54,57,64,35,40,44,49,56,61,63,71
30,35,40,44,49,55,59,65,34,41,43,50,55,59,66,73
30,35,40,46,50,55,61,66,33,41,45,49,56,60,65,69
31,35,40,45,49,55,59,65,35,39,45,52,53,58,65,69
29,35,40,45,50,55,61,65,35,40,44,48,56,59,65,71
30,35,41,45,51,56,59,66,34,41,45,50,53,59,65,71
29,35,39,44,48,54,61,65,35,41,45,49,58,60,67,70
31,36,41,47,49,55,60,66,35,38,44,51,56,61,65,68
29,34,39,43,50,55,60,67,35,39,47,49,55,61,64,68
31,36,41,46,51,55,60,65,34,38,44,49,55,62,65,69
31,35,41,45,50,54,59,65,35,40,45,50,56,60,63,70
29,36,38,46,51,56,61,65,36,41,45,50,55,60,65,70
30,35,38,45,51,55,59,66,35,41,46,50,56,60,64,70
29,35,40,45,51,55,60,63,35,41,44,49,55,58,65,70
33,35,39,44,50,55,61,65,35,39,45,50,55,59,64,69
30,36,40,43,50,55,63,65,34,40,46,49,55,60,66,70
31,36,40,44,51,53,61,66,34,42,46,51,55,60,65,71
31,35,39,45,50,54,59,64,36,40,46,50,57,60,66,70
29,35,39,43,52,55,58,65,35,42,47,50,56,60,66,68
31,35,40,44,49,55,58,64,37,40,46,51,55,62,64,70
32,34,40,43,48,55,58,64,36,39,46,51,55,59,66,69
32,35,40,44,51,54,59,64,35,41,44,52,57,58,66,70
30,34,38,44,50,55,62,66,35,40,45,51,55,61,65,71
31,35,39,45,51,55,62,64,34,41,44,50,55,60,66,71
