"1H","1L","2H","2L","3H","3L","4H","4L","5H","5L","6H","6L","7H","7L","8H","8L"
10,12,34,36,61,61,83,87,213,215,237,239,264,264,289,290
10,12,37,37,61,62,84,87,213,216,239,239,263,265,288,289
11,13,36,37,60,62,88,87,213,214,238,241,263,265,288,289
9,12,35,36,61,62,84,86,213,215,237,240,263,264,289,289
10,11,34,37,60,63,85,87,212,216,240,240,264,265,287,290
10,12,33,38,61,62,86,87,214,215,237,240,264,267,287,289
10,12,36,37,59,64,85,88,214,216,237,241,263,265,288,290
11,13,34,37,59,61,85,87,213,216,237,240,263,266,289,292
9,12,34,37,59,63,84,86,211,215,236,240,263,265,289,291
9,12,34,37,62,60,84,85,212,214,241,240,264,266,289,289
10,13,36,37,60,62,85,85,211,215,236,239,263,265,287,292
12,12,36,36,61,63,87,86,213,214,239,242,263,265,289,291
9,10,36,36,61,63,85,87,212,214,238,240,262,265,290,290
9,10,34,38,60,61,84,87,214,216,238,241,263,264,289,291
8,12,36,38,59,61,86,87,213,216,237,241,263,268,289,289
10,14,36,36,60,62,86,84,213,216,240,240,263,265,288,290
10,10,36,36,61,62,85,88,212,214,238,239,263,264,290,290
8,11,34,38,59,62,85,85,212,217,239,241,264,266,289,291
9,11,38,37,60,59,85,89,211,214,237,240,263,265,289,290
11,13,36,36,61,62,85,86,212,215,238,240,263,265,287,292
10,11,37,37,59,62,88,87,213,215,239,238,263,266,288,290
11,11,35,36,60,63,85,87,213,215,238,239,263,265,288,291
9,12,35,38,59,63,85,87,215,216,237,240,265,264,289,291
11,11,36,37,58,62,86,87,213,215,237,239,263,264,287,290
11,12,35,37,59,61,85,87,212,214,238,240,262,264,289,290
9,13,34,37,60,61,85,87,214,215,238,241,262,266,287,288
9,14,34,35,59,63,85,88,213,214,237,239,262,264,286,290
9,12,35,38,59,65,85,88,212,215,240,240,262,263,289,290
9,12,34,36,60,61,85,89,213,214,239,241,263,264,287,291
10,13,34,38,60,62,84,90,212,216,237,242,263,266,288,291
9,13,36,36,60,61,83,88,215,215,238,241,263,265,289,289
11,13,35,36,61,63,86,87,213,214,237,240,262,264,288,291
10,10,35,38,59,63,86,87,211,215,238,242,262,265,288,290
10,13,35,38,60,63,86,86,213,214,237,238,263,264,287,290
11,13,35,38,59,63,84,87,213,216,239,241,265,267,289,289
9,12,34,36,62,63,84,87,212,215,239,241,263,265,287,290
10,12,34,36,59,61,85,87,212,215,237,240,263,266,288,289
9,12,36,38,62,62,84,90,212,216,238,239,263,266,288,292
11,12,36,37,60,61,85,87,213,216,238,239,263,264,286,290
11,12,35,36,57,62,86,87,213,217,237,241,264,266,286,292
9,11,35,37,58,61,85,87,214,214,236,241,263,267,287,290
11,13,36,36,61,59,84,88,213,215,239,240,264,265,287,291
9,12,36,36,61,61,86,87,213,215,238,240,262,266,288,291
8,11,36,36,60,62,83,85,211,216,237,241,261,264,288,290
11,9,34,38,61,62,86,89,212,216,237,237,262,264,287,289
8,12,36,37,61,61,85,87,211,215,238,240,264,266,287,291
10,12,34,36,58,62,86,88,214,215,240,240,264,267,288,289
11,13,35,36,61,63,85,87,214,215,236,241,261,267,289,289
10,10,36,37,60,63,85,87,214,218,238,241,265,265,289,289
10,12,36,35,60,64,85,87,213,214,239,239,262,264,288,291
11,13,36,37,59,61,85,88,213,215,239,239,263,265,290,288
11,12,36,38,60,62,84,87,211,214,237,239,263,264,287,291
11,12,35,36,61,62,86,87,212,215,237,239,262,266,289,290
9,12,35,38,59,62,84,87,213,216,239,241,263,265,288,289
10,12,36,38,60,62,86,88,215,213,239,240,264,265,287,291
9,14,35,37,62,61,86,88,213,214,238,240,263,264,289,290
11,12,35,36,59,61,87,88,213,215,237,241,263,265,287,289
9,13,34,39,59,61,84,89,215,216,238,239,263,266,288,290
9,11,34,37,61,62,86,85,212,215,237,240,263,265,286,291
9,12,35,37,59,63,87,87,212,217,238,239,263,264,287,289
9,10,33,39,58,62,84,87,213,212,239,240,264,266,288,289
9,13,35,37,59,63,85,89,214,214,238,241,263,264,287,288
9,12,35,36,58,61,85,88,214,216,239,241,263,265,288,288
10,13,34,36,59,63,86,85,213,215,239,240,263,265,288,289
9,12,35,39,60,63,86,86,213,216,237,241,263,266,288,289
11,12,34,36,61,62,86,87,214,216,239,240,264,266,288,288
