"1H","2H","3H","4H","5H","6H","7H","8H","1L","2L","3L","4L","5L","6L","7L","8L"
20,30,40,50,45,54,65,75,27,35,46,54,49,60,70,80
20,29,41,51,45,55,65,76,25,37,46,55,50,59,70,80
20,30,41,51,45,56,67,73,25,35,45,56,50,60,69,80
22,30,41,49,45,56,66,75,23,34,44,56,51,61,71,78
18,31,39,51,44,54,65,76,25,33,46,56,49,62,69,80
21,30,40,52,46,56,68,75,25,36,46,55,50,63,70,80
18,31,40,51,45,56,63,75,25,35,44,55,50,61,72,81
19,30,39,51,45,53,65,75,24,36,46,56,51,62,69,81
19,30,39,52,45,55,63,75,24,34,45,55,51,60,71,81
21,30,39,50,45,54,65,75,24,35,43,54,49,60,70,80
21,31,39,50,44,55,65,74,25,35,46,55,51,60,71,79
22,29,41,50,42,55,64,75,25,34,45,57,50,60,71,82
20,30,40,50,44,55,66,74,25,33,46,57,50,59,70,79
22,30,40,49,47,55,66,77,24,35,45,56,50,60,71,82
20,31,40,49,46,57,66,75,25,36,45,54,51,61,69,81
19,31,40,52,44,54,65,77,26,35,44,56,50,58,70,80
20,29,40,51,44,56,64,75,25,33,45,55,52,60,70,80
21,29,40,51,44,54,65,76,25,34,47,55,48,62,70,82
21,30,40,52,43,54,66,75,26,36,45,56,49,61,70,81
19,31,40,50,45,55,65,73,25,35,44,57,51,60,71,81
20,31,39,50,46,55,64,75,25,35,45,55,50,61,69,78
21,29,40,48,45,54,64,78,25,34,46,56,49,61,69,78
19,31,40,49,44,54,65,75,24,35,43,55,50,59,72,80
19,31,41,50,45,56,65,74,25,35,45,54,53,61,71,78
20,30,40,49,45,57,65,75,25,34,46,55,51,62,69,80
21,31,40,51,46,54,67,74,25,34,47,56,50,59,69,79
19,30,39,51,45,56,65,75,25,34,45,55,50,60,70,79
22,31,40,50,45,54,66,75,25,35,43,55,50,59,69,81
19,30,40,51,44,57,65,76,25,35,45,54,49,60,68,81
19,31,40,50,44,56,64,75,24,35,47,55,52,61,70,80
21,30,39,51,46,54,65,75,25,36,45,54,50,61,70,81
20,31,40,51,44,55,63,73,26,34,47,56,49,62,69,81
19,29,41,51,44,56,65,74,25,36,44,56,50,60,70,80
18,28,39,50,43,55,65,76,25,35,47,53,50,58,68,80
19,31,38,50,44,54,66,74,24,35,47,56,51,59,70,80
20,31,41,51,44,54,66,75,25,34,45,55,50,60,70,79
20,30,40,50,46,55,64,76,24,35,44,55,49,59,70,77
20,30,40,49,44,55,64,76,24,34,45,56,49,61,70,82
21,30,40,49,45,55,63,75,24,34,43,54,51,60,69,80
20,28,40,50,43,55,67,75,27,34,46,55,48,60,70,81
